 frequency         mag               pha              
 1.5848931925e+04  1.9821519095e+01 -8.2738737873e+01 
 1.7782794100e+04  1.7695431628e+01 -8.3532333007e+01 
 1.9952623150e+04  1.5792037591e+01 -8.4243094077e+01 
 2.2387211386e+04  1.4089565847e+01 -8.4879590253e+01 
 2.5118864315e+04  1.2567915968e+01 -8.5449652124e+01 
 2.8183829313e+04  1.1208672482e+01 -8.5960406523e+01 
 3.1622776602e+04  9.9950635767e+00 -8.6418319276e+01 
 3.5481338923e+04  8.9118847412e+00 -8.6829245361e+01 
 3.9810717055e+04  7.9454018672e+00 -8.7198480321e+01 
 4.4668359215e+04  7.0832440166e+00 -8.7530811186e+01 
 5.0118723363e+04  6.3142928352e+00 -8.7830570894e+01 
 5.6234132519e+04  5.6285731374e+00 -8.8101679821e+01 
 6.3095734448e+04  5.0171477261e+00 -8.8347695644e+01 
 7.0794578438e+04  4.4720180981e+00 -8.8571854783e+01 
 7.9432823472e+04  3.9860320169e+00 -8.8777110595e+01 
 8.9125093813e+04  3.5527983445e+00 -8.8966174772e+01 
 1.0000000000e+05  3.1666091413e+00 -8.9141544861e+01 
 1.1220184543e+05  2.8223688055e+00 -8.9305540071e+01 
 1.2589254118e+05  2.5155299452e+00 -8.9460332993e+01 
 1.4125375446e+05  2.2420354826e+00 -8.9607972834e+01 
 1.5848931925e+05  1.9982665858e+00 -8.9750416142e+01 
 1.7782794100e+05  1.7809958514e+00 -8.9889551369e+01 
 1.9952623150e+05  1.5873453707e+00 -9.0027223630e+01 
 2.2387211386e+05  1.4147491663e+00 -9.0165257352e+01 
 2.5118864315e+05  1.2609195723e+00 -9.0305483327e+01 
 2.8183829313e+05  1.1238171855e+00 -9.0449761573e+01 
 3.1622776602e+05  1.0016240349e+00 -9.0600004646e+01 
 3.5481338923e+05  8.9271960806e-01 -9.0758204676e+01 
 3.9810717055e+05  7.9565945729e-01 -9.0926458015e+01 
 4.4668359215e+05  7.0915611009e-01 -9.1106994409e+01 
 5.0118723363e+05  6.3206204447e-01 -9.1302204713e+01 
 5.6234132519e+05  5.6335449805e-01 -9.1514672904e+01 
 6.3095734448e+05  5.0212192796e-01 -9.1747209196e+01 
 7.0794578438e+05  4.4755192504e-01 -9.2002886545e+01 
 7.9432823472e+05  3.9892046065e-01 -9.2285079697e+01 
 8.9125093813e+05  3.5558228084e-01 -9.2597508075e+01 
 1.0000000000e+06  3.1696235048e-01 -9.2944281528e+01 
 1.1220184543e+06  2.8254823084e-01 -9.3329951462e+01 
 1.2589254118e+06  2.5188328081e-01 -9.3759564343e+01 
 1.4125375446e+06  2.2456060003e-01 -9.4238720942e+01 
 1.5848931925e+06  2.0021762982e-01 -9.4773638168e+01 
 1.7782794100e+06  1.7853134097e-01 -9.5371215381e+01 
 1.9952623150e+06  1.5921394770e-01 -9.6039102017e+01 
 2.2387211386e+06  1.4200908484e-01 -9.6785766742e+01 
 2.5118864315e+06  1.2668840249e-01 -9.7620563561e+01 
 2.8183829313e+06  1.1304852950e-01 -9.8553792321e+01 
 3.1622776602e+06  1.0090836755e-01 -9.9596746719e+01 
 3.5481338923e+06  9.0106674098e-02 -1.0076174142e+02 
 3.9810717055e+06  8.0499907886e-02 -1.0206210728e+02 
 4.4668359215e+06  7.1960300294e-02 -1.0351213831e+02 
 5.0118723363e+06  6.4374128705e-02 -1.0512697061e+02 
 5.6234132519e+06  5.7640165694e-02 -1.0692236758e+02 
 6.3095734448e+06  5.1668279304e-02 -1.0891438113e+02 
 7.0794578438e+06  4.6378164055e-02 -1.1111885496e+02 
 7.9432823472e+06  4.1698181418e-02 -1.1355073615e+02 
 8.9125093813e+06  3.7564292637e-02 -1.1622316812e+02 
 1.0000000000e+07  3.3919068774e-02 -1.1914635484e+02 
 1.1220184543e+07  3.0710769070e-02 -1.2232621698e+02 
 1.2589254118e+07  2.7892484174e-02 -1.2576290629e+02 
 1.4125375446e+07  2.5421351685e-02 -1.2944930133e+02 
 1.5848931925e+07  2.3257861187e-02 -1.3336966341e+02 
 1.7782794100e+07  2.1365277338e-02 -1.3749866581e+02 
 1.9952623150e+07  1.9709217666e-02 -1.4180100061e+02 
 2.2387211386e+07  1.8257419892e-02 -1.4623169560e+02 
 2.5118864315e+07  1.6979724375e-02 -1.5073715682e+02 
 2.8183829313e+07  1.5848271795e-02 -1.5525682129e+02 
 3.1622776602e+07  1.4837881281e-02 -1.5972522213e+02 
 3.5481338923e+07  1.3926534256e-02 -1.6407427591e+02 
 3.9810717055e+07  1.3095852420e-02 -1.6823568671e+02 
 4.4668359215e+07  1.2331440824e-02 -1.7214347965e+02 
 5.0118723363e+07  1.1622975116e-02 -1.7573672682e+02 
 5.6234132519e+07  1.0963956509e-02 -1.7896247747e+02 
 6.3095734448e+07  1.0351129658e-02 -1.8177875279e+02 
 7.0794578438e+07  9.7836388153e-03 -1.8415728431e+02 
 7.9432823472e+07  9.2620591244e-03 -1.8608555879e+02 
 8.9125093813e+07  8.7874610260e-03 -1.8756773601e+02 
 1.0000000000e+08  8.3606426530e-03 -1.8862414441e+02 
 1.1220184543e+08  7.9816110246e-03 -1.8928929923e+02 
 1.2589254118e+08  7.6493304495e-03 -1.8960865832e+02 
 1.4125375446e+08  7.3617050508e-03 -1.8963456812e+02 
 1.5848931925e+08  7.1157317838e-03 -1.8942198617e+02 
 1.7782794100e+08  6.9077510669e-03 -1.8902456460e+02 
 1.9952623150e+08  6.7337295310e-03 -1.8849154289e+02 
 2.2387211386e+08  6.5895257006e-03 -1.8786568482e+02 
 2.5118864315e+08  6.4711089062e-03 -1.8718226940e+02 
 2.8183829313e+08  6.3747192157e-03 -1.8646897506e+02 
 3.1622776602e+08  6.2969691294e-03 -1.8574640801e+02 
 3.5481338923e+08  6.2348956797e-03 -1.8502901447e+02 
 3.9810717055e+08  6.1859748537e-03 -1.8432615757e+02 
 4.4668359215e+08  6.1481103984e-03 -1.8364320327e+02 
 5.0118723363e+08  6.1196073585e-03 -1.8298252334e+02 
 5.6234132519e+08  6.0991381921e-03 -1.8234437501e+02 
 6.3095734448e+08  6.0857067675e-03 -1.8172765280e+02 
 7.0794578438e+08  6.0786132085e-03 -1.8113052941e+02 
 7.9432823472e+08  6.0774205742e-03 -1.8055101216e+02 
 8.9125093813e+08  6.0819226768e-03 -1.7998744237e+02 
 1.0000000000e+09  6.0921109033e-03 -1.7943895923e+02 
 1.1220184543e+09  6.1081367190e-03 -1.7890593677e+02 
 1.2589254118e+09  6.1302657184e-03 -1.7839038392e+02 
 1.4125375446e+09  6.1588189983e-03 -1.7789627274e+02 
 1.5848931925e+09  6.1940987766e-03 -1.7742973214e+02 
 1.7782794100e+09  6.2362981857e-03 -1.7699902180e+02 
 1.9952623150e+09  6.2854003981e-03 -1.7661419453e+02 
 2.2387211386e+09  6.3410792522e-03 -1.7628638198e+02 
 2.5118864315e+09  6.4026205437e-03 -1.7602670840e+02 
 2.8183829313e+09  6.4688868493e-03 -1.7584494460e+02 
 3.1622776602e+09  6.5383454510e-03 -1.7574812934e+02 
 3.5481338923e+09  6.6091667335e-03 -1.7573945620e+02 
 3.9810717055e+09  6.6793816277e-03 -1.7581770279e+02 
 4.4668359215e+09  6.7470681323e-03 -1.7597735293e+02 
 5.0118723363e+09  6.8105270576e-03 -1.7620937505e+02 
 5.6234132519e+09  6.8684108400e-03 -1.7650244658e+02 
 6.3095734448e+09  6.9197847427e-03 -1.7684432554e+02 
 7.0794578438e+09  6.9641196517e-03 -1.7722308705e+02 
 7.9432823472e+09  7.0012317876e-03 -1.7762803667e+02 
 8.9125093813e+09  7.0311923604e-03 -1.7805022999e+02 
 1.0000000000e+10  7.0542296247e-03 -1.7848262432e+02 
 1.1220184543e+10  7.0706401960e-03 -1.7891994274e+02 
 1.2589254118e+10  7.0807195557e-03 -1.7935834663e+02 
 1.4125375446e+10  7.0847159137e-03 -1.7979500337e+02 
 1.5848931925e+10  7.0828078773e-03 -1.8022761898e+02 
 1.7782794100e+10  7.0751043642e-03 -1.8065398928e+02 
 1.9952623150e+10  7.0616639936e-03 -1.8107161446e+02 
 2.2387211386e+10  7.0425299088e-03 -1.8147741732e+02 
 2.5118864315e+10  7.0177741906e-03 -1.8186760000e+02 
 2.8183829313e+10  6.9875440527e-03 -1.8223765993e+02 
 3.1622776602e+10  6.9521009512e-03 -1.8258256071e+02 
 3.5481338923e+10  6.9118448984e-03 -1.8289702062e+02 
 3.9810717055e+10  6.8673201689e-03 -1.8317585492e+02 
 4.4668359215e+10  6.8192041048e-03 -1.8341430376e+02 
 5.0118723363e+10  6.7682852911e-03 -1.8360830140e+02 
 5.6234132519e+10  6.7154383739e-03 -1.8375468560e+02 
 6.3095734448e+10  6.6615994994e-03 -1.8385138192e+02 
 7.0794578438e+10  6.6077408307e-03 -1.8389760141e+02 
 7.9432823472e+10  6.5548386717e-03 -1.8389405506e+02 
 8.9125093813e+10  6.5038305199e-03 -1.8384313307e+02 
 1.0000000000e+11  6.4555619968e-03 -1.8374895980e+02 
