 0.000000000000e+00  8.566198285691e-01 
 1.847163640000e-11  8.566198285691e-01 
 3.694327280000e-11  8.566198285691e-01 
 7.388654560000e-11  8.566198285691e-01 
 1.477730912000e-10  8.566198285692e-01 
 2.955461824000e-10  8.566198285693e-01 
 5.910923648000e-10  8.566198285694e-01 
 1.182184729600e-09  8.566198285693e-01 
 2.364369459200e-09  8.566198285693e-01 
 4.211533099200e-09  8.566198285697e-01 
 6.058696739200e-09  8.566198285697e-01 
 7.905860379200e-09  8.566198285674e-01 
 9.753024019200e-09  8.566198285631e-01 
 1.160018765920e-08  8.566198285592e-01 
 1.344735129920e-08  8.566198285577e-01 
 1.529451493920e-08  8.566198285591e-01 
 1.714167857920e-08  8.566198285616e-01 
 1.898884221920e-08  8.566198285651e-01 
 2.083600585920e-08  8.566198285692e-01 
 2.268316949920e-08  8.566198285709e-01 
 2.453033313920e-08  8.566198285671e-01 
 2.637749677920e-08  8.566198285581e-01 
 2.822466041920e-08  8.566198285476e-01 
 3.007182405920e-08  8.566198285383e-01 
 3.191898769920e-08  8.566198285304e-01 
 3.376615133920e-08  8.566198285254e-01 
 3.561331497920e-08  8.566198285247e-01 
 3.746047861920e-08  8.566198285264e-01 
 3.930764225920e-08  8.566198285287e-01 
 4.115480589920e-08  8.566198285310e-01 
 4.300196953920e-08  8.566198285329e-01 
 4.484913317920e-08  8.566198285341e-01 
 4.669629681920e-08  8.566198285356e-01 
 4.854346045920e-08  8.566198285394e-01 
 5.039062409920e-08  8.566198285452e-01 
 5.223778773920e-08  8.566198285510e-01 
 5.408495137920e-08  8.566198285551e-01 
 5.593211501920e-08  8.566198285565e-01 
 5.777927865920e-08  8.566198285545e-01 
 5.962644229920e-08  8.566198285499e-01 
 6.147360593920e-08  8.566198285429e-01 
 6.332076957920e-08  8.566198285345e-01 
 6.516793321920e-08  8.566198285269e-01 
 6.701509685920e-08  8.566198285201e-01 
 6.886226049920e-08  8.566198285159e-01 
 7.070942413920e-08  8.566198285159e-01 
 7.255658777920e-08  8.566198285177e-01 
 7.440375141920e-08  8.566198285193e-01 
 7.625091505920e-08  8.566198285210e-01 
 7.809807869920e-08  8.566198285226e-01 
 7.994524233920e-08  8.566198285233e-01 
 8.179240597920e-08  8.566198285241e-01 
 8.363956961920e-08  8.566198285258e-01 
 8.548673325920e-08  8.566198285274e-01 
 8.733389689920e-08  8.566198285281e-01 
 8.918106053920e-08  8.566198285305e-01 
 9.102822417920e-08  8.566198285342e-01 
 9.287538781920e-08  8.566198285378e-01 
 9.472255145920e-08  8.566198285417e-01 
 9.656971509920e-08  8.566198285448e-01 
 9.841687873920e-08  8.566198285472e-01 
 1.002640423792e-07  8.566198285491e-01 
 1.021112060192e-07  8.566198285513e-01 
 1.039583696592e-07  8.566198285555e-01 
 1.058055332992e-07  8.566198285598e-01 
 1.076526969392e-07  8.566198285593e-01 
 1.094998605792e-07  8.566198285540e-01 
 1.113470242192e-07  8.566198285480e-01 
 1.131941878592e-07  8.566198285440e-01 
 1.150413514992e-07  8.566198285438e-01 
 1.168885151392e-07  8.566198285461e-01 
 1.187356787792e-07  8.566198285494e-01 
 1.205828424192e-07  8.566198285520e-01 
 1.224300060592e-07  8.566198285535e-01 
 1.242771696992e-07  8.566198285553e-01 
 1.261243333392e-07  8.566198285576e-01 
 1.279714969792e-07  8.566198285588e-01 
 1.298186606192e-07  8.566198285585e-01 
 1.316658242592e-07  8.566198285567e-01 
 1.335129878992e-07  8.566198285526e-01 
 1.353601515392e-07  8.566198285469e-01 
 1.372073151792e-07  8.566198285410e-01 
 1.390544788192e-07  8.566198285355e-01 
 1.409016424592e-07  8.566198285328e-01 
 1.427488060992e-07  8.566198285350e-01 
 1.445959697392e-07  8.566198285387e-01 
 1.464431333792e-07  8.566198285415e-01 
 1.482902970192e-07  8.566198285435e-01 
 1.501374606592e-07  8.566198285435e-01 
 1.519846242992e-07  8.566198285417e-01 
 1.538317879392e-07  8.566198285397e-01 
 1.556789515792e-07  8.566198285388e-01 
 1.575261152192e-07  8.566198285385e-01 
 1.593732788592e-07  8.566198285384e-01 
 1.612204424992e-07  8.566198285394e-01 
 1.630676061392e-07  8.566198285426e-01 
 1.649147697792e-07  8.566198285465e-01 
