 frequency         mag               pha              
 8.9125093813e+04  6.0751057702e+01  9.1338299931e+01 
 1.0000000000e+05  5.4147787045e+01  9.1176966695e+01 
 1.1220184543e+05  4.8261634870e+01  9.1031229636e+01 
 1.2589254118e+05  4.3014901208e+01  9.0899161177e+01 
 1.4125375446e+05  3.8338252395e+01  9.0779013288e+01 
 1.5848931925e+05  3.4169835485e+01  9.0669194824e+01 
 1.7782794100e+05  3.0454482277e+01  9.0568250786e+01 
 1.9952623150e+05  2.7142994188e+01  9.0474843290e+01 
 2.2387211386e+05  2.4191502052e+01  9.0387734020e+01 
 2.5118864315e+05  2.1560892473e+01  9.0305767839e+01 
 2.8183829313e+05  1.9216295069e+01  9.0227857704e+01 
 3.1622776602e+05  1.7126624103e+01  9.0152970211e+01 
 3.5481338923e+05  1.5264169033e+01  9.0080111957e+01 
 3.9810717055e+05  1.3604229085e+01  9.0008316420e+01 
 4.4668359215e+05  1.2124786909e+01  8.9936631059e+01 
 5.0118723363e+05  1.0806217722e+01  8.9864104868e+01 
 5.6234132519e+05  9.6310294010e+00  8.9789775632e+01 
 6.3095734448e+05  8.5836311784e+00  8.9712657272e+01 
 7.0794578438e+05  7.6501269866e+00  8.9631726729e+01 
 7.9432823472e+05  6.8181314143e+00  8.9545910426e+01 
 8.9125093813e+05  6.0766055255e+00  8.9454070117e+01 
 1.0000000000e+06  5.4157105378e+00  8.9354987759e+01 
 1.1220184543e+06  4.8266773516e+00  8.9247349482e+01 
 1.2589254118e+06  4.3016902630e+00  8.9129728257e+01 
 1.4125375446e+06  3.8337833010e+00  8.9000565075e+01 
 1.5848931925e+06  3.4167478262e+00  8.8858148534e+01 
 1.7782794100e+06  3.0450501916e+00  8.8700592356e+01 
 1.9952623150e+06  2.7137582922e+00  8.8525810844e+01 
 2.2387211386e+06  2.4184761675e+00  8.8331491768e+01 
 2.5118864315e+06  2.1552856750e+00  8.8115066535e+01 
 2.8183829313e+06  1.9206944803e+00  8.7873677311e+01 
 3.1622776602e+06  1.7115897592e+00  8.7604140737e+01 
 3.5481338923e+06  1.5251968644e+00  8.7302908109e+01 
 3.9810717055e+06  1.3590425391e+00  8.6966021583e+01 
 4.4668359215e+06  1.2109220931e+00  8.6589066365e+01 
 5.0118723363e+06  1.0788701562e+00  8.6167118777e+01 
 5.6234132519e+06  9.6113462427e-01  8.5694690167e+01 
 6.3095734448e+06  8.5615340584e-01  8.5165667241e+01 
 7.0794578438e+06  7.6253373396e-01  8.4573249229e+01 
 7.9432823472e+06  6.7903370693e-01  8.3909883407e+01 
 8.9125093813e+06  6.0454585561e-01  8.3167200804e+01 
 1.0000000000e+07  5.3808250684e-01  8.2335955288e+01 
 1.1220184543e+07  4.7876276088e-01  8.1405970505e+01 
 1.2589254118e+07  4.2580091376e-01  8.0366101225e+01 
 1.4125375446e+07  3.7849618683e-01  7.9204218026e+01 
 1.5848931925e+07  3.3622363292e-01  7.7907227622e+01 
 1.7782794100e+07  2.9842612221e-01  7.6461144609e+01 
 1.9952623150e+07  2.6460730701e-01  7.4851235118e+01 
 2.2387211386e+07  2.3432549958e-01  7.3062256308e+01 
 2.5118864315e+07  2.0718838417e-01  7.1078819270e+01 
 2.8183829313e+07  1.8284850218e-01  6.8885902176e+01 
 3.1622776602e+07  1.6099942091e-01  6.6469535872e+01 
 3.5481338923e+07  1.4137248644e-01  6.3817668494e+01 
 3.9810717055e+07  1.2373400692e-01  6.0921189044e+01 
 4.4668359215e+07  1.0788265954e-01  5.7775047659e+01 
 5.0118723363e+07  9.3646863592e-02  5.4379354212e+01 
 5.6234132519e+07  8.0881826316e-02  5.0740278103e+01 
 6.3095734448e+07  6.9466001511e-02  4.6870528211e+01 
 7.0794578438e+07  5.9296828649e-02  4.2789187763e+01 
 7.9432823472e+07  5.0285840645e-02  3.8520742405e+01 
 8.9125093813e+07  4.2353506580e-02  3.4093273111e+01 
 1.0000000000e+08  3.5424402521e-02  2.9535969826e+01 
 1.1220184543e+08  2.9423375627e-02  2.4876295047e+01 
 1.2589254118e+08  2.4273214974e-02  2.0137230166e+01 
 1.4125375446e+08  1.9894012045e-02  1.5335025861e+01 
 1.5848931925e+08  1.6204011299e-02  1.0477757854e+01 
 1.7782794100e+08  1.3121462355e-02  5.5648137401e+00 
 1.9952623150e+08  1.0566878729e-02  5.8726893536e-01 
 2.2387211386e+08  8.4651781924e-03 -4.4710052099e+00 
 2.5118864315e+08  6.7473555362e-03 -9.6316995579e+00 
 2.8183829313e+08  5.3515360564e-03 -1.4920082557e+01 
 3.1622776602e+08  4.2234163165e-03 -2.0362832427e+01 
 3.5481338923e+08  3.3161946282e-03 -2.5985816946e+01 
 3.9810717055e+08  2.5901322945e-03 -3.1811949885e+01 
 4.4668359215e+08  2.0118854012e-03 -3.7859272294e+01 
 5.0118723363e+08  1.5537251363e-03 -4.4139438033e+01 
 5.6234132519e+08  1.1927361317e-03 -5.0656797728e+01 
 6.3095734448e+08  9.1005495580e-04 -5.7408241291e+01 
 7.0794578438e+08  6.9018745729e-04 -6.4383857889e+01 
 7.9432823472e+08  5.2042424520e-04 -7.1568315526e+01 
 8.9125093813e+08  3.9035766615e-04 -7.8942700366e+01 
 1.0000000000e+09  2.9149143503e-04 -8.6486458407e+01 
 1.1220184543e+09  2.1692650435e-04 -9.4179091730e+01 
 1.2589254118e+09  1.6110443986e-04 -1.0200135972e+02 
 1.4125375446e+09  1.1959180773e-04 -1.0993585113e+02 
 1.5848931925e+09  8.8893862642e-05 -1.1796686485e+02 
 1.7782794100e+09  6.6290832872e-05 -1.2607957155e+02 
 1.9952623150e+09  4.9693781935e-05 -1.3425849163e+02 
 2.2387211386e+09  3.7518989178e-05 -1.4248547444e+02 
 2.5118864315e+09  2.8580407716e-05 -1.5073757197e+02 
 2.8183829313e+09  2.1999607988e-05 -1.5898536265e+02 
 3.1622776602e+09  1.7132155284e-05 -1.6719228326e+02 
 3.5481338923e+09  1.3508877726e-05 -1.7531533092e+02 
 3.9810717055e+09  1.0790109491e-05 -1.8330716506e+02 
 4.4668359215e+09  8.7308126968e-06 -1.9111929192e+02 
 5.0118723363e+09  7.1544963117e-06 -1.9870576619e+02 
 5.6234132519e+09  5.9340220656e-06 -2.0602675874e+02 
 6.3095734448e+09  4.9776540271e-06 -2.1305141972e+02 
 7.0794578438e+09  4.2190103772e-06 -2.1975966400e+02 
 7.9432823472e+09  3.6098678626e-06 -2.2614275186e+02 
 8.9125093813e+09  3.1150249952e-06 -2.3220275778e+02 
 1.0000000000e+10  2.7086385929e-06 -2.3795116515e+02 
 1.1220184543e+10  2.3716098243e-06 -2.4340687784e+02 
 1.2589254118e+10  2.0897164526e-06 -2.4859391785e+02 
 1.4125375446e+10  1.8522756022e-06 -2.5353901195e+02 
