 frequency         mag               pha              
 8.9125093813e+04  1.0810068494e+02  9.2025193135e+01 
 1.0000000000e+05  9.6359482137e+01  9.1762195801e+01 
 1.1220184543e+05  8.5890805895e+01  9.1522498524e+01 
 1.2589254118e+05  7.6557523797e+01  9.1302944994e+01 
 1.4125375446e+05  6.8237050738e+01  9.1100639125e+01 
 1.5848931925e+05  6.0819872682e+01  9.0912908695e+01 
 1.7782794100e+05  5.4208201284e+01  9.0737271356e+01 
 1.9952623150e+05  4.8314752076e+01  9.0571402745e+01 
 2.2387211386e+05  4.3061640039e+01  9.0413106388e+01 
 2.5118864315e+05  3.8379384570e+01  9.0260285096e+01 
 2.8183829313e+05  3.4206014239e+01  9.0110913538e+01 
 3.1622776602e+05  3.0486263495e+01  8.9963011668e+01 
 3.5481338923e+05  2.7170853457e+01  8.9814618687e+01 
 3.9810717055e+05  2.4215847064e+01  8.9663767251e+01 
 4.4668359215e+05  2.1582073352e+01  8.9508457559e+01 
 5.0118723363e+05  1.9234611963e+01  8.9346631063e+01 
 5.6234132519e+05  1.7142333631e+01  8.9176143416e+01 
 6.3095734448e+05  1.5277489327e+01  8.8994736390e+01 
 7.0794578438e+05  1.3615343791e+01  8.8800008385e+01 
 7.9432823472e+05  1.2133848441e+01  8.8589383252e+01 
 8.9125093813e+05  1.0813349980e+01  8.8360077000e+01 
 1.0000000000e+06  9.6363297575e+00  8.8109062216e+01 
 1.1220184543e+06  8.5871721085e+00  8.7833029691e+01 
 1.2589254118e+06  7.6519573459e+00  8.7528347110e+01 
 1.4125375446e+06  6.8182772548e+00  8.7191014509e+01 
 1.5848931925e+06  6.0750707034e+00  8.6816616313e+01 
 1.7782794100e+06  5.4124769636e+00  8.6400269984e+01 
 1.9952623150e+06  4.8217050011e+00  8.5936571405e+01 
 2.2387211386e+06  4.2949170385e+00  8.5419537398e+01 
 2.5118864315e+06  3.8251246162e+00  8.4842546421e+01 
 2.8183829313e+06  3.4060961445e+00  8.4198278674e+01 
 3.1622776602e+06  3.0322744355e+00  8.3478658164e+01 
 3.5481338923e+06  2.6987033020e+00  8.2674800126e+01 
 3.9810717055e+06  2.4009623033e+00  8.1776968789e+01 
 4.4668359215e+06  2.1351086653e+00  8.0774552968e+01 
